galaxy,redshift,pixscale,obs2phys,semimaj,axisrat,mag160,ra,dec
gal00309,1.984,20.0,8.378108877634213,0.08,0.6,25.8592,34.2570328,-5.2170464999999995
gal00310,1.19,20.0,8.283159926938003,0.27,0.34,24.1043,34.4194466,-5.2172913
gal00311,1.744,20.0,8.457901094034693,0.18,0.33,24.0601,34.543149299999996,-5.217246
gal00313,2.136,20.0,8.30221096492475,0.19,0.28,26.3913,34.2948035,-5.2170252999999995
gal00314,2.481,20.0,8.085372595168069,0.27,0.64,24.6053,34.35773820000001,-5.2171958
gal00317,2.3480000000000003,20.0,8.174542552296836,0.23,0.19,24.0734,34.336026399999994,-5.2174783
gal00318,1.3319999999999999,20.0,8.398326281923794,0.39,0.58,25.0421,34.4191389,-5.217044400000001
gal00320,1.197,20.0,8.290413810244509,0.18,0.55,24.2266,34.5296028,-5.2171712999999995
gal00323,1.247,20.0,8.337213428897389,0.27,0.55,22.9424,34.26620379999999,-5.271800700000001
gal00324,1.431,20.0,8.444268125342568,0.48,0.13,24.97,34.2487243,-5.2169206
gal00325,1.301,20.0,8.37855317600713,0.26,0.68,24.1576,34.4022202,-5.2172052
gal00329,1.73,20.0,8.460594353131771,0.11,0.49,25.1417,34.355298600000005,-5.2170416
gal00330,2.201,20.0,8.265370594070205,0.2,0.46,25.1424,34.473247,-5.217142900000001
gal00333,1.693,20.0,8.466464426955888,0.45,0.28,24.4393,34.2939723,-5.2173907
gal00334,2.7089999999999996,20.0,7.922130590927634,0.29,0.32,25.7403,34.5173171,-5.2168285
gal00336,1.069,20.0,8.127159208325018,0.22,0.77,20.4893,34.557080799999994,-5.218432599999999
gal00338,2.7239999999999998,20.0,7.911064092263246,0.2,0.83,24.258000000000003,34.463498799999996,-5.2170146
gal00340,1.6,20.0,8.47244326112147,0.27,0.22,24.8867,34.4945857,-5.2169805
gal00341,2.67,20.0,7.950748096987226,0.12,0.74,24.3633,34.5046619,-5.2762884
gal00342,2.394,20.0,8.144346719481256,0.26,0.55,25.3596,34.304706599999996,-5.2171125
gal00344,1.5859999999999999,20.0,8.472151800665051,0.08,0.67,26.5164,34.3142281,-5.2167497
gal00345,2.4619999999999997,20.0,8.09844208170165,0.12,0.84,24.1957,34.4050146,-5.2170999
gal00350,1.301,20.0,8.37855317600713,0.31,0.44,24.2862,34.529459100000004,-5.2168709
gal00353,2.068,20.0,8.33810471408105,0.33,0.48,24.3582,34.3092677,-5.2169665
gal00357,1.4780000000000002,20.0,8.457882409783808,0.66,0.33,22.2049,34.285055,-5.2714594
gal00359,1.3630000000000002,20.0,8.415419030600408,0.25,0.43,23.2593,34.32266920000001,-5.2172517
gal00360,2.5469999999999997,20.0,8.039244976518324,0.52,0.22,25.8951,34.5454176,-5.2166094
gal00362,1.8459999999999999,20.0,8.431179301708786,0.14,0.4,23.2174,34.469525899999994,-5.2169526
gal00363,2.49,20.0,8.079147511169026,0.45,0.41,23.3775,34.4505766,-5.217170200000001
gal00364,1.3019999999999998,20.0,8.379234510686173,0.13,0.69,24.5998,34.3453084,-5.216778700000001
gal00365,1.131,20.0,8.2146359237789,0.3,0.41,24.8451,34.274230100000004,-5.216842400000001
gal00368,1.6280000000000001,20.0,8.472052114516435,0.31,0.19,24.4176,34.2904638,-5.2169685999999995
gal00369,2.323,20.0,8.19063067210492,0.16,0.82,26.0755,34.3037232,-5.216569
gal00371,2.124,20.0,8.308752325934057,0.06,0.65,24.627,34.561592499999996,-5.216690900000001
gal00375,1.237,20.0,8.328536158437206,0.27,0.5,24.1429,34.2239262,-5.2166922
gal00376,1.848,20.0,8.430539691287077,0.29,0.33,24.8368,34.5914766,-5.2165834
gal00377,2.2,20.0,8.265954442689653,0.12,0.78,25.9903,34.305612599999996,-5.216521
gal00378,1.151,20.0,8.239387987314103,0.29,0.38,24.6766,34.261612,-5.2710563
gal00379,1.6059999999999999,20.0,8.472467387119968,0.22,0.56,23.6252,34.3539949,-5.2167987
gal00381,1.464,20.0,8.454333677685149,0.19,0.63,25.1467,34.5663941,-5.2164872
gal00383,1.256,20.0,8.344742061461117,0.66,0.55,22.9747,34.4268006,-5.2173431
gal00384,1.797,20.0,8.445508117262474,0.37,0.85,22.7935,34.4268809,-5.2715736
gal00386,2.189,20.0,8.27234286400481,0.22,0.27,24.8282,34.331872600000004,-5.2165439000000005
gal00387,1.073,20.0,8.133318653082194,0.29,0.29,24.9624,34.2942129,-5.2166164
gal00388,2.042,20.0,8.35103176842234,0.14,0.56,25.1022,34.4984624,-5.216529799999999
gal00389,2.8810000000000002,20.0,7.793646564246229,0.3,0.67,25.0713,34.237095700000005,-5.2165093
gal00390,1.421,20.0,8.440729055003487,0.37,0.43,25.4805,34.439411299999996,-5.2164321
gal00392,2.408,20.0,8.135013602446897,0.4,0.4,25.7409,34.3063615,-5.2164215
gal00393,1.536,20.0,8.468299975931616,0.04,0.6,26.6089,34.31224279999999,-5.2164193
gal00394,1.341,20.0,8.403557788978308,0.12,0.25,25.9223,34.504365,-5.216407599999999
gal00395,1.515,20.0,8.465299679093206,0.07,0.64,25.9437,34.4013005,-5.2164199
gal00397,1.208,20.0,8.301455670298822,0.13,0.58,26.3774,34.2806306,-5.2163905999999995
gal00398,2.286,20.0,8.213988928303575,0.43,0.34,23.8296,34.4028108,-5.2168201
gal00399,1.521,20.0,8.46624384890737,0.28,0.81,22.6319,34.4464408,-5.2175327000000005
gal00401,1.1179999999999999,20.0,8.197669238701048,0.14,0.62,26.3127,34.4745027,-5.2163777
gal00402,1.003,20.0,8.014359281283888,0.22,0.76,23.648000000000003,34.394336100000004,-5.2167474
gal00405,1.375,20.0,8.421349308022348,0.17,0.47,23.3459,34.273955900000004,-5.2166514
gal00407,1.891,20.0,8.415810696848277,0.24,0.41,23.6584,34.576266,-5.2166315
gal00408,1.801,20.0,8.4444380328673,0.23,0.47,24.6268,34.5379569,-5.2164272
gal00409,1.4340000000000002,20.0,8.445284655508738,0.1,0.9,22.8988,34.4431708,-5.2168323
gal00411,1.7009999999999998,20.0,8.46535290311312,0.06,0.68,25.5206,34.56277070000001,-5.270728500000001
gal00416,2.3569999999999998,20.0,8.168693646598504,0.26,0.63,23.1885,34.4506314,-5.216886
gal00418,2.667,20.0,7.952939589797306,0.12,0.68,25.7955,34.479963500000004,-5.2162254
gal00419,2.187,20.0,8.27349764903433,0.13,0.33,24.7476,34.3853576,-5.2708153
gal00420,2.767,20.0,7.8791740971405435,0.07,0.88,25.2821,34.448776200000005,-5.216296400000001
gal00423,1.548,20.0,8.469638378563559,0.27,0.49,25.271,34.500265399999996,-5.2161905
gal00425,2.945,20.0,7.745161341596379,0.14,0.39,25.7836,34.560196999999995,-5.2707069
gal00427,1.2830000000000001,20.0,8.365777566656574,0.1,0.54,25.6655,34.4398551,-5.2161404000000005
gal00429,2.3569999999999998,20.0,8.168693646598504,0.3,0.68,24.3392,34.361873100000004,-5.216385099999999
gal00430,1.97,20.0,8.384255971952017,0.07,0.47,25.1886,34.3271991,-5.2161731
gal00432,1.208,20.0,8.301455670298822,0.22,0.35,25.833000000000002,34.4674033,-5.2160977
gal00435,1.475,20.0,8.457157147472282,0.34,0.83,24.5304,34.289168100000005,-5.216329099999999
gal00438,1.4369999999999998,20.0,8.446280539928402,0.27,0.5,19.807000000000002,34.4634255,-5.272727099999999
gal00439,1.3530000000000002,20.0,8.4101884663415,0.25,0.32,25.5976,34.4699534,-5.2160444
gal00440,1.061,20.0,8.114616995772924,0.29,0.45,24.2051,34.5727227,-5.2163831
gal00441,1.222,20.0,8.314890589866362,0.35,0.49,21.0055,34.3806536,-5.217890000000001
gal00442,1.113,20.0,8.190954836692951,0.17,0.52,24.7283,34.538097,-5.2161222
gal00443,1.12,20.0,8.20032542776514,0.23,0.53,24.5753,34.3191587,-5.2161954
gal00446,1.645,20.0,8.471204343572976,0.25,0.49,23.816,34.332610200000005,-5.2710758
gal00447,1.4580000000000002,20.0,8.452683471335266,0.4,0.28,25.811,34.393396100000004,-5.2159814
gal00448,1.272,20.0,8.357483792240178,0.18,0.41,24.9933,34.4826387,-5.2160555
gal00449,1.345,20.0,8.405811418842813,0.22,0.52,23.8468,34.5132524,-5.2162215
gal00450,1.072,20.0,8.13178572065768,0.29,0.32,24.2861,34.3436635,-5.2162142
gal00452,1.443,20.0,8.448210842600274,0.05,0.85,26.6495,34.4812249,-5.2159614
gal00453,1.088,20.0,8.155765162289393,0.35,0.44,25.9579,34.5819799,-5.2159264
gal00456,1.327,20.0,8.395322546647696,0.15,0.62,23.679000000000002,34.302854700000005,-5.2162885
gal00463,1.187,20.0,8.279996276458629,0.45,0.47,23.3267,34.2270099,-5.216594799999999
gal00465,1.161,20.0,8.25116703882653,0.12,0.68,23.6569,34.4471019,-5.2710114
gal00466,1.3230000000000002,20.0,8.392868917692203,0.1,0.43,25.4751,34.3794801,-5.2158197
gal00471,1.354,20.0,8.410723490863871,0.65,0.53,21.7803,34.4219844,-5.2167985
gal00475,1.41,20.0,8.436564281046635,0.26,0.3,23.7805,34.2523341,-5.215985099999999
gal00476,1.265,20.0,8.352009313700231,0.16,0.27,25.4862,34.4448135,-5.2157519
gal00478,1.899,20.0,8.41287131464287,0.53,0.37,23.6172,34.2886348,-5.216459599999999
gal00479,1.025,20.0,8.054373951914558,0.25,0.62,23.1833,34.3627263,-5.2163167999999995
gal00480,2.641,20.0,7.971869443014992,0.3,0.62,24.8394,34.4140985,-5.2158565
gal00481,1.804,20.0,8.443623531090102,0.16,0.3,25.8646,34.329196100000004,-5.2156731
gal00482,1.9140000000000001,20.0,8.407198737431154,0.59,0.73,22.6698,34.289960799999996,-5.2167940999999995
gal00483,1.296,20.0,8.375102000300629,0.42,0.78,23.1973,34.523214200000005,-5.2164747
gal00484,2.783,20.0,7.867250158998747,0.21,0.4,26.5994,34.471681200000006,-5.215652700000001
gal00486,1.3869999999999998,20.0,8.426909801582848,0.07,0.75,24.7644,34.2892552,-5.2157652
