,Unnamed: 0,ra_1,dec_1,TYPE,g,r,z,w1,w2,rg_EXP,rg_DEV,fluxg,fluxr,fluxz,fluxw1,fluxw2,shapeexp_e1,shapeexp_e2,shapedev_e1,shapedev_e2,col1,ra_2,dec_2,redshift,weight,mass_stellar,Separation
35663,35670,15.54278368,-4.267220052,DEV,19.70409295,19.03507883,18.52319988,19.90441372,21.16516203,0,1.7478873,13.132966,24.320274,38.96907,10.920299,3.419284,0,0,-0.07326512,0.035948373,822940,15.54275,-4.26724,0.11616,1,9.8307,0.140637438
36212,36219,15.91228681,14.58886665,DEV,19.67753221,18.44007188,17.56313753,17.29324971,17.77474224,0,9.0991955,13.458204,42.069878,94.35067,120.97625,77.64314,0,0,0.05526982,0.14322782,733889,15.91235,14.58892,0.48833,1,11.51607,0.292136797
37040,37047,16.40213598,28.26009283,DEV,20.00508242,18.51225788,17.44307672,16.55011813,17.03366367,0,2.5303385,9.953299,39.363785,105.3827,239.8572,153.6507,0,0,0.0520293,-0.09120315,809514,16.40213,28.26008,0.4865,1,12.00416,0.049919858
37742,37749,16.63464415,-3.127439809,DEV,19.8409215,18.60818524,17.52553421,16.84043901,16.76387825,0,1.667617,11.577943,36.035114,97.67565,183.57959,196.99205,0,0,-0.008373927,0.15184641,699284,16.63463,-3.12751,0.21545,1,11.30902,0.257758412
38020,38027,16.63630011,6.911420186,DEV,19.94759876,18.08760101,17.06114635,16.30813054,16.8744879,0,3.4549756,10.49447,58.204906,149.81023,299.74213,177.91183,0,0,-0.07021791,0.1887537,643124,16.63628,6.91142,0.45896,1,12.19811,0.071862241
38610,38617,16.92498251,7.884580194,DEV,19.58098922,18.75339302,18.11349672,18.02135228,18.65421536,0,4.3566256,14.709717,31.524107,56.833096,61.867004,34.539326,0,0,-0.076211095,0.007024259,646372,16.92496,7.88452,0.12514,1,10.43047,0.231088996
39212,39219,17.33946762,30.7878051,DEV,19.85631883,18.4751846,17.35540864,16.54460528,17.25232458,0,6.7129927,11.414909,40.731102,114.24483,241.07817,125.62329,0,0,-0.30487832,-0.105009295,804610,17.33951,30.78782,0.57313,1,11.69775,0.141632319
39219,39226,17.30253265,32.10971461,DEV,20.01776534,18.72075188,17.79666748,17.28620307,17.78144587,0,3.9655254,9.837707,32.486225,76.09095,121.76396,77.16523,0,0,0.014976366,0.0669052,805755,17.30246,32.10976,0.5348,1,11.71175,0.275285759
39393,39400,17.27810952,13.5417044,DEV,19.92274676,19.44575397,19.1003519,19.85059811,20.25697344,0,4.5132513,10.737453,16.660898,22.901253,11.475213,7.892428,0,0,0.68439245,-0.14121553,638937,17.27813,13.54165,0.09939,2,9.07961,0.208550811
39458,39465,17.34172676,24.17062376,DEV,20.08466906,18.87324879,17.80422587,17.04802052,17.6133448,0,6.3355885,9.249801,28.229324,75.56308,151.63232,90.08699,0,0,0.20722422,0.054426,735662,17.34174,24.17063,0.56191,3,11.68586,0.048938489
39507,39514,17.33783236,4.474901187,DEV,18.04568133,17.16285554,16.63465963,17.02110303,17.37499825,0,8.097425,60.496113,136.41364,221.88919,155.43857,112.20203,0,0,0.086736605,-0.25832894,667579,17.33779,4.47494,0.18714,1,10.74585,0.206474659
40149,40156,17.55626971,26.44868184,DEV,19.60207219,18.74802156,17.97189929,17.08723494,17.45851222,0,2.187614,14.426837,31.680452,64.75008,146.25342,103.89511,0,0,-0.20394933,-0.40319034,772187,17.55629,26.44866,0.08394,1,9.66766,0.102272181
40485,40492,17.88119731,8.928194104,DEV,19.52989523,17.87597687,16.81157423,16.08321369,16.71215228,0,9.875025,15.418492,70.73091,188.52559,368.73514,206.60417,0,0,0.31086367,-0.06334799,676699,17.88119,8.92817,0.48545,1,12.35986,0.090589316
40551,40558,17.78943199,13.50733499,DEV,19.29084492,17.72069971,16.86917673,16.46972316,16.89155442,0,5.4150915,19.215958,81.60563,178.78427,258.29187,175.13713,0,0,0.19802278,-0.0912912,683719,17.78945,13.50738,0.30952,2,11.77082,0.173864011
41256,41263,18.14076146,29.28987129,DEV,19.71872664,18.30564867,17.26800481,16.70444174,17.04558189,0,3.575566,12.957146,47.614643,123.822075,208.07663,151.97328,0,0,-0.018534683,-0.2462384,799613,18.14074,29.28986,0.25085,1,11.43399,0.078681596
41618,41625,18.4623829,23.51542973,DEV,20.18645147,19.59543169,18.90348478,18.216568,18.9938908,0,4.2315216,8.422081,14.515344,27.45403,51.685986,25.260601,0,0,0.25621486,-0.1332934,733614,18.46233,23.51534,0.10639,1,9.42566,0.367208557
41795,41802,18.49655117,11.50092135,DEV,19.89987991,18.5819855,17.60930844,17.07351331,17.60807718,0,5.3437414,10.965995,36.91525,90.42252,148.11351,90.52512,0,0,-0.060152076,-0.42729023,639021,18.49662,11.5008,0.50895,1,11.4742,0.499824159
42514,42521,18.78923621,17.95820441,DEV,19.47334956,19.77377965,20.13395225,20.69790967,20.51026376,0,0.812246,16.242773,12.316524,8.839325,5.2581882,6.2502084,0,0,-0.4418424,-0.18591942,724059,18.78922,17.95821,0.07423,1,8.55001,0.059038859
43287,43294,18.93910253,26.34932557,DEV,20.13398318,18.28584747,17.29780154,16.55866822,17.09725305,0,2.8480675,8.839073,48.490986,120.47013,237.97575,144.91014,0,0,0.1074923,-0.113921426,756381,18.9391,26.34932,0.44056,1,12.02185,0.021666159
43596,43603,19.2111749,27.0494369,DEV,20.08407784,18.16602049,17.14514815,16.33423876,16.82008754,0,2.8272095,9.254839,54.14917,138.65666,292.62033,187.05313,0,0,-0.08135771,0.06200702,758683,19.21115,27.04946,0.44733,2,12.24011,0.115286218
44005,44012,19.50744717,22.9917494,DEV,19.82777663,18.58153524,17.55284719,16.96214896,17.13208023,0,3.5700498,11.718967,36.93056,95.24915,164.11203,140.33562,0,0,-0.18897958,-0.5957514,725007,19.50742,22.99172,0.17506,1,10.97855,0.138951696
44061,44068,19.465601,-4.555007793,DEV,19.73927333,18.38000502,17.38135485,16.36251879,16.72736093,0,6.8675733,12.714248,44.46292,111.54704,285.0969,203.7303,0,0,-0.26790118,0.17574234,822676,19.46565,-4.55498,0.45106,1,11.56435,0.202331697
44678,44685,19.58658919,10.16341319,DEV,19.55438501,18.66630453,17.78280875,17.0422372,17.73249559,0,8.54916,15.074607,34.15688,77.06843,152.44217,80.72383,0,0,-0.10839006,-0.058626413,677693,19.58661,10.16346,0.56811,1,11.5144,0.183930282
44787,44794,19.77318709,30.94490602,DEV,20.19130726,18.88916913,17.90229626,17.39383361,17.89675421,0,5.455216,8.384499,27.818413,69.036934,110.27233,69.39023,0,0,-0.12677822,-0.000442431,758762,19.77313,30.9449,0.55255,1,11.75611,0.177604335
